standard,girder_index,rule_id,combination_name,traffic_action,governing_components,moment_knm,shear_kn,torsion_knm,moment_source_case_id,shear_source_case_id,torsion_source_case_id,factors_json
BS 5400,3,bs_combination_1_sls_ha_hb,BS 5400 combination 1 SLS (ha_hb),ha_hb,moment;shear,2041.7315498793023,728.11405047315361,84.73498761394913,786,630,742,"{""other_superimposed"": 1.0, ""primary_live"": 1.1, ""structural_dead"": 1.0, ""surfacing"": 1.2}"
BS 5400,3,bs_combination_2_uls_ha,BS 5400 combination 2 ULS (ha),ha,,1737.5230233162865,503.12286797046664,32.411714166854786,179,41,25,"{""other_superimposed"": 1.2, ""primary_live"": 1.25, ""structural_dead"": 1.15, ""surfacing"": 1.75}"
BS 5400,3,bs_combination_2_uls_hb,BS 5400 combination 2 ULS (hb),hb,torsion,1988.5935356134132,729.68354859433134,85.862395150204918,127,118,141,"{""other_superimposed"": 1.2, ""primary_live"": 1.1, ""structural_dead"": 1.15, ""surfacing"": 1.75}"
BS 5400,3,bs_combination_2_uls_ha_hb,BS 5400 combination 2 ULS (ha_hb),ha_hb,moment;shear,2169.520299879302,762.19105047315361,84.73498761394913,786,630,742,"{""other_superimposed"": 1.2, ""primary_live"": 1.1, ""structural_dead"": 1.15, ""surfacing"": 1.75}"
BS 5400,3,bs_combination_2_sls_ha,BS 5400 combination 2 SLS (ha),ha,,1416.6584186530295,409.60229437637327,25.929371333483829,179,41,25,"{""other_superimposed"": 1.0, ""primary_live"": 1.0, ""structural_dead"": 1.0, ""surfacing"": 1.2}"
BS 5400,3,bs_combination_2_sls_hb,BS 5400 combination 2 SLS (hb),hb,torsion,1750.2184414667395,647.99031690393758,78.056722863822642,127,118,141,"{""other_superimposed"": 1.0, ""primary_live"": 1.0, ""structural_dead"": 1.0, ""surfacing"": 1.2}"
BS 5400,3,bs_combination_2_sls_ha_hb,BS 5400 combination 2 SLS (ha_hb),ha_hb,moment;shear,1914.6973180720929,677.54259133923051,77.031806921771931,786,630,742,"{""other_superimposed"": 1.0, ""primary_live"": 1.0, ""structural_dead"": 1.0, ""surfacing"": 1.2}"
BS 5400,3,bs_combination_3_uls_ha,BS 5400 combination 3 ULS (ha),ha,,1737.5230233162865,503.12286797046664,32.411714166854786,179,41,25,"{""other_superimposed"": 1.2, ""primary_live"": 1.25, ""structural_dead"": 1.15, ""surfacing"": 1.75}"
BS 5400,3,bs_combination_3_uls_hb,BS 5400 combination 3 ULS (hb),hb,torsion,1988.5935356134132,729.68354859433134,85.862395150204918,127,118,141,"{""other_superimposed"": 1.2, ""primary_live"": 1.1, ""structural_dead"": 1.15, ""surfacing"": 1.75}"
BS 5400,3,bs_combination_3_uls_ha_hb,BS 5400 combination 3 ULS (ha_hb),ha_hb,moment;shear,2169.520299879302,762.19105047315361,84.73498761394913,786,630,742,"{""other_superimposed"": 1.2, ""primary_live"": 1.1, ""structural_dead"": 1.15, ""surfacing"": 1.75}"
BS 5400,3,bs_combination_3_sls_ha,BS 5400 combination 3 SLS (ha),ha,,1416.6584186530295,409.60229437637327,25.929371333483829,179,41,25,"{""other_superimposed"": 1.0, ""primary_live"": 1.0, ""structural_dead"": 1.0, ""surfacing"": 1.2}"
BS 5400,3,bs_combination_3_sls_hb,BS 5400 combination 3 SLS (hb),hb,torsion,1750.2184414667395,647.99031690393758,78.056722863822642,127,118,141,"{""other_superimposed"": 1.0, ""primary_live"": 1.0, ""structural_dead"": 1.0, ""surfacing"": 1.2}"
BS 5400,3,bs_combination_3_sls_ha_hb,BS 5400 combination 3 SLS (ha_hb),ha_hb,moment;shear,1914.6973180720929,677.54259133923051,77.031806921771931,786,630,742,"{""other_superimposed"": 1.0, ""primary_live"": 1.0, ""structural_dead"": 1.0, ""surfacing"": 1.2}"
BS 5400,4,bs_combination_1_uls_ha,BS 5400 combination 1 ULS (ha),ha,,2060.8921029023213,581.84075522303579,42.585370050433156,179,35,25,"{""other_superimposed"": 1.2, ""primary_live"": 1.5, ""structural_dead"": 1.15, ""surfacing"": 1.75}"
BS 5400,4,bs_combination_1_uls_hb,BS 5400 combination 1 ULS (hb),hb,torsion,2190.351733066746,823.5346120083077,99.53215754177721,131,122,144,"{""other_superimposed"": 1.2, ""primary_live"": 1.3, ""structural_dead"": 1.15, ""surfacing"": 1.75}"
BS 5400,4,bs_combination_1_uls_ha_hb,BS 5400 combination 1 ULS (ha_hb),ha_hb,moment;shear,2381.998612074306,852.21962828665983,98.255299416081115,785,657,760,"{""other_superimposed"": 1.2, ""primary_live"": 1.3, ""structural_dead"": 1.15, ""surfacing"": 1.75}"
BS 5400,4,bs_combination_1_sls_ha,BS 5400 combination 1 SLS (ha),ha,,1675.3536823218574,472.57660417842862,34.068296040346524,179,35,25,"{""other_superimposed"": 1.0, ""primary_live"": 1.2, ""structural_dead"": 1.0, ""surfacing"": 1.2}"
BS 5400,4,bs_combination_1_sls_hb,BS 5400 combination 1 SLS (hb),hb,torsion,1844.3771395180161,694.43767169933722,84.219517919965327,131,122,144,"{""other_superimposed"": 1.0, ""primary_live"": 1.1, ""structural_dead"": 1.0, ""surfacing"": 1.2}"
BS 5400,4,bs_combination_1_sls_ha_hb,BS 5400 combination 1 SLS (ha_hb),ha_hb,moment;shear,2006.5398832936439,718.70960855025055,83.139099505914785,785,657,760,"{""other_superimposed"": 1.0, ""primary_live"": 1.1, ""structural_dead"": 1.0, ""surfacing"": 1.2}"
BS 5400,4,bs_combination_2_uls_ha,BS 5400 combination 2 ULS (ha),ha,,1846.1007107519345,519.18479601919648,35.487808375360963,179,35,25,"{""other_superimposed"": 1.2, ""primary_live"": 1.25, ""structural_dead"": 1.15, ""surfacing"": 1.75}"
BS 5400,4,bs_combination_2_uls_hb,BS 5400 combination 2 ULS (hb),hb,torsion,1972.1658895180158,728.51467169933721,84.219517919965327,131,122,144,"{""other_superimposed"": 1.2, ""primary_live"": 1.1, ""structural_dead"": 1.15, ""surfacing"": 1.75}"
BS 5400,4,bs_combination_2_uls_ha_hb,BS 5400 combination 2 ULS (ha_hb),ha_hb,moment;shear,2134.3286332936436,752.78660855025055,83.139099505914785,785,657,760,"{""other_superimposed"": 1.2, ""primary_live"": 1.1, ""structural_dead"": 1.15, ""surfacing"": 1.75}"
BS 5400,4,bs_combination_2_sls_ha,BS 5400 combination 2 SLS (ha),ha,,1503.5205686015479,422.45183681535718,28.39024670028877,179,35,25,"{""other_superimposed"": 1.0, ""primary_live"": 1.0, ""structural_dead"": 1.0, ""surfacing"": 1.2}"
